run_id,label,epoch,step,loss,cosine,effective_rank,subject_balanced_context_shuffle_loss_gap
a00-baseline,a00 baseline,5,195,0.55771755051409078,0.72147272183344913,5.1293344497680664,3.9839061597983058e-05
a00-baseline,a00 baseline,10,390,0.54707754422456789,0.72909141249126863,6.9131155014038086,9.2038946847120906e-05
a00-baseline,a00 baseline,15,585,0.52595240641862917,0.73451987902323401,8.1354999542236328,9.809494949877267e-05
a00-baseline,a00 baseline,20,780,0.50352987850833142,0.74383434780642521,8.852665901184082,0.00011933135489622754
a00-baseline,a00 baseline,25,975,0.48786659067512578,0.74958812935739505,9.3531951904296875,0.00012774503168960408
a00-baseline,a00 baseline,30,1170,0.47955498532352286,0.75187621004561078,9.6512384414672852,0.00013392193553348378
a00-baseline,a00 baseline,35,1365,0.47734548571782237,0.75171315313404441,9.8116722106933594,0.00013353425698975726
a00-baseline,a00 baseline,40,1560,0.47716635643926442,0.75135631999398911,9.8341102600097656,0.00013414093603690466
a01-lr3e-5,a01 lr 3e-5,5,195,0.62242149134986424,0.65069362954196763,6.2193746566772461,8.8727412124474822e-06
a01-lr3e-5,a01 lr 3e-5,10,390,0.67146669290004635,0.56222009149372065,7.5259032249450684,3.4658548732598645e-05
a01-lr3e-5,a01 lr 3e-5,15,585,0.64504158802521538,0.6223348455551343,8.3592300415039062,5.2545499056577658e-05
a01-lr3e-5,a01 lr 3e-5,20,780,0.62201305841788268,0.6556294107029581,9.064640998840332,6.2452753384908011e-05
a01-lr3e-5,a01 lr 3e-5,25,975,0.60850556691487634,0.670002062096555,9.293400764465332,6.6508694241444261e-05
a01-lr3e-5,a01 lr 3e-5,30,1170,0.60383008025650287,0.67283343912189841,9.4116735458374023,7.0064049214124677e-05
a01-lr3e-5,a01 lr 3e-5,35,1365,0.60327710453261674,0.67181544935601389,9.4921274185180664,7.008140285809833e-05
a01-lr3e-5,a01 lr 3e-5,40,1560,0.60359739696877635,0.67091885234555626,9.5294198989868164,6.9887905071179058e-05
a02-lr3e-4,a02 lr 3e-4,5,195,0.44683426822352612,0.81624489666050315,5.0696477890014648,0.0015878637942175072
a02-lr3e-4,a02 lr 3e-4,10,390,0.45372979635866278,0.79278380188167608,4.2157936096191406,0.0092773590392122608
a02-lr3e-4,a02 lr 3e-4,15,585,0.4380778178700015,0.79140371135157395,4.4585466384887695,0.019192389973128839
a02-lr3e-4,a02 lr 3e-4,20,780,0.4261715320440439,0.79099268077785134,4.9091720581054688,0.020997574956466744
a02-lr3e-4,a02 lr 3e-4,25,975,0.42162368924189836,0.78866854080787074,4.7360162734985352,0.021387873388205966
a02-lr3e-4,a02 lr 3e-4,30,1170,0.42038506167566675,0.78621182125857758,4.9035701751708984,0.020737123132372894
a02-lr3e-4,a02 lr 3e-4,35,1365,0.42116127233219963,0.78421188317812407,4.7023653984069824,0.020417600761478152
a02-lr3e-4,a02 lr 3e-4,40,1560,0.42172622145750582,0.78344225221210051,4.7138524055480957,0.020406949333846566
a03-ema0.995,a03 EMA 0.995,5,195,0.38176981022215295,0.87103513621876383,5.1978483200073242,2.9330359150966005e-05
a03-ema0.995,a03 EMA 0.995,10,390,0.45051490419950241,0.81824934075021338,7.1673831939697266,0.00011601794200638924
a03-ema0.995,a03 EMA 0.995,15,585,0.47842029093677163,0.78347505616326618,8.3349075317382812,0.00012757284566760062
a03-ema0.995,a03 EMA 0.995,20,780,0.48118151125744879,0.77018078270121515,9.0790786743164062,0.00014725557217995326
a03-ema0.995,a03 EMA 0.995,25,975,0.47733842995431686,0.76535473980455315,9.5096893310546875,0.00015737875364720821
a03-ema0.995,a03 EMA 0.995,30,1170,0.47547937764061821,0.76184386880988753,9.8234643936157227,0.00015851013983289404
a03-ema0.995,a03 EMA 0.995,35,1365,0.4766441272874164,0.75856875354408204,9.9862031936645508,0.00015409531382222966
a03-ema0.995,a03 EMA 0.995,40,1560,0.4776146343121162,0.75711501510734236,10.003068923950195,0.00015360568650066856
a04-mask-light,a04 light mask,5,195,0.5958997260810982,0.67827755518448662,6.4096307754516602,9.7285148998101551e-05
a04-mask-light,a04 light mask,10,390,0.57735224412037778,0.69406179281381464,7.6073923110961914,0.00013858157520492867
a04-mask-light,a04 light mask,15,585,0.54821715752283728,0.70822384316697085,8.4215812683105469,0.00015539747352401418
a04-mask-light,a04 light mask,20,780,0.52317060874058652,0.72006755761611152,8.8963918685913086,0.00019401322739819689
a04-mask-light,a04 light mask,25,975,0.5043508955556103,0.72891689926131153,9.5180025100708008,0.00023558357109626128
a04-mask-light,a04 light mask,30,1170,0.49480103809609371,0.73237233844577754,9.7814741134643555,0.0002560114022344351
a04-mask-light,a04 light mask,35,1365,0.49166027195433265,0.73290572410974753,9.9458780288696289,0.00026572104543447499
a04-mask-light,a04 light mask,40,1560,0.49122976823749703,0.73271182103034782,9.9872121810913086,0.00026630652137100687
a05-mask-heavy,a05 heavy mask,5,195,0.52475034935861575,0.75497936336403215,4.2570281028747559,2.3671224092443784e-05
a05-mask-heavy,a05 heavy mask,10,390,0.52661826213200891,0.75513850419949258,5.4671111106872559,0.0001023024165381988
