run_id,phase,history_index,ema_tau,epoch,epoch_seconds,examples_per_second,grad_norm,lr,peak_gpu_memory_mib,step,train_clip_covariance_loss,train_clip_variance_loss,train_cosine,train_covariance_loss,train_examples,train_loss,train_variance_loss,val_context_shuffle_batches,val_context_shuffle_loss_gap,val_context_shuffle_pairing,val_context_shuffle_pairs,val_context_shuffle_status,val_context_shuffle_subjects,val_context_shuffle_unique_sources,val_cosine,val_effective_rank,val_effective_rank_ratio,val_feature_std,val_health_issues,val_loss,val_max_feature_norm,val_mean_feature_norm,val_min_feature_norm,val_near_zero_variance_fraction,val_representation_source,val_representations_healthy,val_subject_balanced_context_shuffle_loss_gap,val_subject_balanced_cosine,val_subject_balanced_loss
phase0-job-91108,phase0,0,0.990097460887407,1,100.1744324080646,24.91653748366093,0.34820935473992276,2.7185929648241205e-05,2149.01806640625,39,,,0.08931731047806142,3.54470870968623,2496,0.8033445597841189,0.423926159261893,,,,,,,,,,,,,,,,,,,,,,
phase0-job-91108,phase0,1,0.9901974865350089,2,101.83108733035624,24.511178908485768,0.5972630137052292,4.482412060301508e-05,2267.49169921875,78,,,0.5084620526967905,4.870070860171929,2496,0.6945211407847893,0.17044168459967926,,,,,,,,,,,,,,,,,,,,,,
phase0-job-91108,phase0,2,0.990297512182611,3,78.75204632151872,31.694414514762606,1.6092115732339711,6.246231155778895e-05,2189.21630859375,117,,,0.7147324534180837,3.442129236765397,2496,0.6034574395953081,0.028278882851083882,,,,,,,,,,,,,,,,,,,,,,
phase0-job-91108,phase0,3,0.9903975378302129,4,72.53906037006527,34.40904786009643,2.335336987788861,8.010050251256282e-05,2211.49462890625,156,,,0.7153971025194877,2.3186542162528405,2496,0.5867581336926191,0.01922496047635109,,,,,,,,,,,,,,,,,,,,,,
phase0-job-91108,phase0,4,0.9904975634778148,5,104.40706319455057,23.906428584711655,2.717630835679861,9.773869346733669e-05,2212.75048828125,195,,,0.6662887604190753,1.8225800670110262,2496,0.6066898493430554,0.018054932794676952,117,1.508032536914206e-05,global_seeded_cross_subject_permutation_v1,1872,complete,80,1872,0.658174202992366,6.142617702484131,0.015996400266885757,0.04008103534579277,"[""effective_rank_below_threshold"",""context_shuffle_gap_below_threshold""]",0.6072732632995671,4.7575531005859375,4.508116245269775,4.311391830444336,0.0,context_encoder_final_norm_full_view_mean_pool,false,1.5125485757986711e-05,0.6581808044264716,0.607276892879357
phase0-job-91108,phase0,5,0.9905975891254167,6,50.002741657197475,49.91726287953896,2.168072746350215,9.997937475231581e-05,2258.79736328125,234,,,0.6386792405675619,1.5030375955960689,2496,0.6214005754162104,0.012863793719309168,,,,,,,,,,,,,,,,,,,,,,
phase0-job-91108,phase0,6,0.9906976147730188,7,44.20782557502389,56.46059193217062,1.5980226045999772,9.99049442977617e-05,2169.45068359375,273,,,0.6486611744532218,1.2478622396787007,2496,0.6186030711501073,0.008554689021996008,,,,,,,,,,,,,,,,,,,,,,
phase0-job-91108,phase0,7,0.9907976404206207,8,42.23741952795535,59.094519217680705,1.1199724597808642,9.977634416699127e-05,2199.30224609375,312,,,0.670826103633795,1.055475187798341,2496,0.6048342881676478,0.0058680152407107064,,,,,,,,,,,,,,,,,,,,,,
phase0-job-91108,phase0,8,0.9908976660682226,9,38.72637201938778,64.45220323634796,0.7020262044209701,9.959371536264192e-05,2255.94091796875,351,,,0.6910483434032171,0.8536688496287053,2496,0.5864894894453195,0.0031778548804234164,,,,,,,,,,,,,,,,,,,,,,
phase0-job-91108,phase0,9,0.9909976917158245,10,63.94435325264931,39.0339392461771,0.5822685934030093,9.93572581266801e-05,2174.10986328125,390,,,0.7000957228816472,0.7044154380758604,2496,0.5735817656685145,0.002068038440110962,117,5.117326210706662e-05,global_seeded_cross_subject_permutation_v1,1872,complete,80,1872,0.7241120847881349,7.405828952789307,0.01928601289788882,0.033425893634557724,"[""effective_rank_below_threshold"",""context_shuffle_gap_below_threshold""]",0.5560964386687319,3.018153667449951,2.8397958278656006,2.6759426593780518,0.0,context_encoder_final_norm_full_view_mean_pool,false,5.1089469343423845e-05,0.7241074527924263,0.5560976463059586
phase0-job-91108,phase0,10,0.9910977173634266,11,37.08065075892955,67.31273451016573,0.5317014241829897,9.906723172084758e-05,2268.04345703125,429,,,0.7054667581732457,0.5961213815861788,2496,0.5639918524867449,0.0015127254769023962,,,,,,,,,,,,,,,,,,,,,,
