epoch,step,train_loss,train_cosine,validation_loss,validation_cosine,feature_std,effective_rank,effective_rank_ratio,near_zero_variance_fraction,wrong_context_gap
1,39,0.80334455978411889,0.089317310478061421,,,,,,,
2,78,0.69452114078478933,0.50846205269679046,,,,,,,
3,117,0.60345743959530806,0.71473245341808367,,,,,,,
4,156,0.58675813369261909,0.71539710251948774,,,,,,,
5,195,0.60668984934305537,0.66628876041907525,0.6072732632995671,0.65817420299236595,0.04008103534579277,6.1426177024841309,0.015996400266885757,0,1.5125485757986711e-05
6,234,0.62140057541621041,0.63867924056756187,,,,,,,
7,273,0.61860307115010726,0.6486611744532218,,,,,,,
8,312,0.60483428816764784,0.67082610363379502,,,,,,,
9,351,0.58648948944531953,0.69104834340321708,,,,,,,
10,390,0.57358176566851449,0.70009572288164723,0.55609643866873193,0.72411208478813494,0.033425893634557724,7.4058289527893066,0.019286012897888821,0,5.1089469343423845e-05
11,429,0.56399185248674488,0.70546675817324567,,,,,,,
12,468,0.55720211202517533,0.70761051926857388,,,,,,,
13,507,0.55107782685603846,0.70964679618676507,,,,,,,
14,546,0.54610461722581816,0.71085081058434951,,,,,,,
15,585,0.54004278377844739,0.71307388521157777,0.52168341477711999,0.73728187267596901,0.028952315449714661,8.6566438674926758,0.022543343404928844,0,5.6251867984732009e-05
16,624,0.53420726362711346,0.71530456688159549,,,,,,,
17,663,0.52788135753228116,0.71805585691562068,,,,,,,
18,702,0.52118198095988,0.7211941868448869,,,,,,,
19,741,0.51452096131367564,0.72434934343282997,,,,,,,
20,780,0.50805893683662784,0.72737190967951071,0.48693585370340919,0.752661912359743,0.025988074019551277,9.5206127166748047,0.024793262283007305,0,6.8680150434374836e-05
21,819,0.50259465170212281,0.72908245676603067,,,,,,,
22,858,0.49644732121855784,0.73202868111622643,,,,,,,
23,897,0.49081851637516266,0.73455072824771583,,,,,,,
24,936,0.48403150750658452,0.73826414346694946,,,,,,,
25,975,0.47892897289532882,0.7401503966404841,0.45498289078728765,0.76660774864702141,0.02358834445476532,10.18460750579834,0.026522415379683178,0,7.5503019616007832e-05
26,1014,0.47481950200521028,0.74103444967514431,,,,,,,
27,1053,0.4703126611808936,0.74269953389198351,,,,,,,
28,1092,0.46492928935167116,0.74557031060640633,,,,,,,
29,1131,0.46137188212611735,0.74643483528724086,,,,,,,
30,1170,0.45521467962326145,0.7507309690117836,0.43109682176867103,0.77584786904163849,0.022165372967720032,10.628045082092285,0.027677200734615326,0,8.3065017436941463e-05
31,1209,0.45399808377409595,0.7494180974287864,,,,,,,
32,1248,0.45005532678885335,0.75134806048411584,,,,,,,
33,1287,0.44769804561749482,0.75164850209003842,,,,,,,
34,1326,0.44422204142961746,0.75342819037345743,,,,,,,
35,1365,0.44353204841415089,0.75249325885222507,0.41569877842552644,0.78097552774298906,0.021021658554673195,10.942840576171875,0.028496980667114258,0,9.0664563079675021e-05
36,1404,0.44022963559016204,0.75406102912548256,,,,,,,
37,1443,0.43823701554001904,0.75478022965865255,,,,,,,
38,1482,0.4364153238443228,0.75512168136162638,,,,,,,
39,1521,0.43442389808404142,0.75583250362139487,,,,,,,
40,1560,0.43327729251140201,0.75592620250506282,0.40590789557522178,0.7834728854334253,0.020317597314715385,11.104723930358887,0.028918551901976269,0,9.5907319337129577e-05
41,1599,0.4313328048357597,0.75675311780128729,,,,,,,
42,1638,0.43017672833341819,0.7568498674111489,,,,,,,
43,1677,0.42952811784851247,0.75654401152561868,,,,,,,
44,1716,0.42713969410994113,0.75801016887029016,,,,,,,
45,1755,0.42652956081124455,0.75770724411958301,0.39915929288945645,0.78482037477004218,0.019687103107571602,11.282930374145508,0.029382631182670593,0,0.00010743788443505766
46,1794,0.42515040637973028,0.75828046504503643,,,,,,,
47,1833,0.42548272386193275,0.75706420131982899,,,,,,,
48,1872,0.4228818855033471,0.7589752009281745,,,,,,,
49,1911,0.42315471267853028,0.75819805875802648,,,,,,,
50,1950,0.42349025014883435,0.75702182337259638,0.39547574163502097,0.78486234968544066,0.019269892945885658,11.337327003479004,0.029524289071559906,0,0.00011444099557896456
51,1989,0.42198816734628802,0.75819712609816825,,,,,,,
52,2028,0.42173679555073762,0.75770045090944338,,,,,,,
53,2067,0.42099830212119299,0.7578618438580097,,,,,,,
54,2106,0.41996575815555376,0.75828936256659341,,,,,,,
55,2145,0.42031329746047658,0.75750190382584548,0.39219229165305441,0.78483402932810986,0.01901080459356308,11.23035717010498,0.029245721797148388,0,0.00012667637007931864
56,2184,0.42067747075970358,0.75679116734327412,,,,,,,
57,2223,0.41807140744267368,0.75903054880790222,,,,,,,
58,2262,0.41820707363195908,0.75832021064483202,,,,,,,
59,2301,0.41899174757492846,0.7572146896750499,,,,,,,
60,2340,0.41784481666026974,0.75798362627243387,0.3901532060570187,0.78474537990032101,0.018862700089812279,11.009832382202148,0.028671438495318096,0,0.00013572559691965577
61,2379,0.4176464841151849,0.75796999973364365,,,,,,,
62,2418,0.41701382245772922,0.75827411906077313,,,,,,,
63,2457,0.41700443272025156,0.75795053308590865,,,,,,,
64,2496,0.41650305974941987,0.75810155348900032,,,,,,,
65,2535,0.41668689394226444,0.75775401962873268,0.38885998165505564,0.78433090397435379,0.018711045384407043,10.937488555908203,0.02848304311434428,0,0.00014412337914109232
66,2574,0.41486377144853276,0.75931802678566718,,,,,,,
67,2613,0.4162803799487077,0.75770683013475859,,,,,,,
68,2652,0.41621590300630301,0.75767612476379442,,,,,,,
69,2691,0.41558449572095502,0.75796501185649479,,,,,,,
70,2730,0.41513959490335905,0.75832131294867933,0.38804845601065546,0.78400967518488562,0.018692890182137489,10.704642295837402,0.027876672645409901,0,0.00014914801965157192
71,2769,0.41468001290773732,0.75834127935843587,,,,,,,
72,2808,0.41413478830303901,0.75871608005120206,,,,,,,
73,2847,0.41538731409953189,0.7575424537062645,,,,,,,
74,2886,0.41440315659229571,0.75828543821206462,,,,,,,
75,2925,0.41387307987763333,0.75853015673466218,0.38750938319752359,0.78372226719163418,0.018568424507975578,10.622624397277832,0.027663084367911022,0,0.0001497882418334484
76,2964,0.41346735516801858,0.75887677035270595,,,,,,,
77,3003,0.41538476695617038,0.75691860799606026,,,,,,,
78,3042,0.41486550848453474,0.75742788593738508,,,,,,,
79,3081,0.41522068444352883,0.7568339682542361,,,,,,,
80,3120,0.41479216945859104,0.75713898012271297,0.38738191306081593,0.78332132202947247,0.018555561080574989,10.451756477355957,0.027218115826447804,0,0.00015376020843784011
81,3159,0.41393630913434887,0.75803224360331511,,,,,,,
82,3198,0.41356209063759219,0.75841728292214561,,,,,,,
83,3237,0.4149829316406678,0.75683919951701772,,,,,,,
84,3276,0.41357953884662724,0.758242144034459,,,,,,,
85,3315,0.41436202222338092,0.75739823530117667,0.38745508871526801,0.7829954420399462,0.018583498895168304,10.249418258666992,0.026691193381945293,0,0.00015794215723872177
86,3354,0.41371157402411485,0.75806337002760327,,,,,,,
87,3393,0.41420281028900391,0.75749363482762611,,,,,,,
88,3432,0.41481302468440473,0.7568912691412828,,,,,,,
89,3471,0.41488141490098757,0.75693230139903533,,,,,,,
90,3510,0.41433739452025831,0.75730603684981668,0.38753835360209149,0.78278736324391818,0.018593423068523407,10.165152549743652,0.026471751431624096,0,0.00015683732926845549
91,3549,0.41484944398204487,0.75676462608270156,,,,,,,
92,3588,0.41565779682535392,0.75617858461844611,,,,,,,
93,3627,0.4139970603088538,0.75766834903221869,,,,,,,
94,3666,0.4149902120996744,0.75661358485619223,,,,,,,
95,3705,0.41480102132146174,0.75688038479823327,0.38759464025497437,0.78267703198979044,0.018566751852631569,10.164773941040039,0.026470765471458435,0,0.00015838703451057277
96,3744,0.41502510632077855,0.75648418336342538,,,,,,,
97,3783,0.4148567316050713,0.75689407380727625,,,,,,,
98,3822,0.41443415501943004,0.75734797139198351,,,,,,,
99,3861,0.41524034337355542,0.75637623304739976,,,,,,,
100,3900,0.41472322512895632,0.7569178526218121,0.38747176069479722,0.78268667418732607,0.018560377880930901,10.167006492614746,0.026476579407850902,0,0.00015955910397072635
