run_id,label,selected_epoch,validation_loss,effective_rank,effective_rank_ratio,wrong_context_gap,relative_gap,closed_set_identity_accuracy,held_out_retrieval_accuracy,gait_balanced_accuracy
a00-baseline,a00 baseline,40,0.47716635643926442,9.8341102600097656,0.025609662135442097,0.00013414093603690466,0.00028111985312187163,0.106326422,0.029411764699999999,0.93269230800000003
a04-mask-light,a04 light mask,40,0.49122976823749703,9.9872121810913086,0.026008365054925282,0.00026630652137100687,0.00054212211594280757,0.10313662899999999,0.030637254900000001,0.9375
a07-clip-var,a07 clip variance,15,0.51110043612300837,25.219511032104492,0.065675809979438782,0.052271358886112763,0.10227218603572552,0.077086656034024453,0.040441176470588237,0.89262820512820507
b01-mask-light,b01 light mask,88,0.38230459277446455,10.859282493591309,0.028279381493727367,0.00035210195928812025,0.00092099850732329039,0.10260499734183945,0.032475490196078434,0.92521367521367526
b02-mask-light-clip-var,b02 light mask + clip variance,84,0.55466156230013597,75.187889099121094,0.19580179452896118,0.11363247249585887,0.20486812178697641,0.057947900053163214,0.048406862745098041,0.88408119658119655
