run_id,epoch,step,val_loss,val_cosine,val_effective_rank,val_subject_balanced_context_shuffle_loss_gap
b01-mask-light,2,78,0.62832328855481923,0.67629039083790576,5.3749527931213379,1.5173666179180147e-05
b01-mask-light,4,156,0.61145456631978357,0.66282445447057736,5.9255003929138184,3.0788655082384744e-05
b01-mask-light,6,234,0.64903011128433752,0.59905793829860854,6.5886330604553223,8.0989487469196336e-05
b01-mask-light,8,312,0.62064694848834956,0.6539239577758007,7.2419238090515137,8.054987216989203e-05
b01-mask-light,10,390,0.58925302772440458,0.68491967671956766,7.8706779479980469,9.7870361059904099e-05
b01-mask-light,12,468,0.56973116723900163,0.69730901157754099,8.0800819396972656,9.519243612885473e-05
b01-mask-light,14,546,0.5534563553638947,0.70571293229730725,8.4433832168579102,0.00011462955735623837
b01-mask-light,16,624,0.53671105600829816,0.71529095549868726,8.7613859176635742,0.00011848923750221735
b01-mask-light,18,702,0.52174634607429182,0.72225332565796685,9.195490837097168,0.00012407313721875357
b01-mask-light,20,780,0.50436901689594626,0.73165704704757428,9.2757024765014648,0.00013993290873865285
b01-mask-light,22,858,0.48895303280944497,0.73952392991791427,9.536646842956543,0.00013991150384147963
b01-mask-light,24,936,0.47432340082959235,0.74651018269041669,9.7587671279907227,0.00015375772491097445
b01-mask-light,26,1014,0.46218990158830953,0.75193152825037635,9.8978290557861328,0.00014939140528440472
b01-mask-light,28,1092,0.45086328927268332,0.75673786034950841,9.9044580459594727,0.00015651104040443896
b01-mask-light,30,1170,0.4402012409817459,0.76100082122362578,9.9883575439453125,0.00017157479499777157
b01-mask-light,32,1248,0.4317642358633188,0.76409064704536378,10.149319648742676,0.00017692352024217448
b01-mask-light,34,1326,0.42374423986826187,0.7669343087408278,10.350379943847656,0.00018739242417116958
b01-mask-light,36,1404,0.41740851855685568,0.76904702645081735,10.43614387512207,0.00020308994377652811
b01-mask-light,38,1482,0.41223304241131514,0.77049976485407246,10.540349960327148,0.00021470282226800923
b01-mask-light,40,1560,0.40760025789595056,0.77169204267681157,10.56761360168457,0.00021401494741439818
b01-mask-light,42,1638,0.40343579369732457,0.77282177230231786,10.630789756774902,0.00022422443144023418
b01-mask-light,44,1716,0.40010481869053638,0.77348590406597173,10.498201370239258,0.00023967044738431778
b01-mask-light,46,1794,0.39708249487428582,0.77426578142704106,10.588706016540527,0.0002497031819075346
b01-mask-light,48,1872,0.39501257762949693,0.77456804575064242,10.61162281036377,0.00026053902693092809
b01-mask-light,50,1950,0.39270749229651231,0.7750590285684309,10.559980392456055,0.00027449491123358405
b01-mask-light,52,2028,0.39104471145532071,0.77527053437681281,10.67146110534668,0.00028095444043477392
b01-mask-light,54,2106,0.38918576688847989,0.77564458867423558,10.592619895935059,0.00029284027405083177
b01-mask-light,56,2184,0.38793210545156753,0.7757824261983236,10.545161247253418,0.00030577997677028185
b01-mask-light,58,2262,0.38692282458655852,0.77581907235659087,10.632518768310547,0.00030624891320864354
b01-mask-light,60,2340,0.38602812371702278,0.77585596865058959,10.563595771789551,0.00031331296389301613
