run_id,run_label,epoch,step,validation_loss,cosine_similarity,effective_rank_ratio,raw_subject_balanced_wrong_context_gap
b00-clip-var,b00 clip variance,2,78,0.63317717955662656,0.67413353818094623,0.006008613233764966,1.512281596660614e-05
b00-clip-var,b00 clip variance,4,156,0.54608015525035369,0.76330062313976454,0.011352286984523138,4.5733340084552768e-05
b00-clip-var,b00 clip variance,6,234,0.56265492724557209,0.72179079106730271,0.018764204035202663,0.0045306304469704631
b00-clip-var,b00 clip variance,8,312,0.55671869231085491,0.73537957158863032,0.030153483152389526,0.013941188901662824
b00-clip-var,b00 clip variance,10,390,0.53746283818513918,0.7568282907844609,0.040594421327114105,0.024159253512819615
b00-clip-var,b00 clip variance,12,468,0.52422786777854979,0.76440915337994564,0.051132634282112122,0.031540764883781471
b00-clip-var,b00 clip variance,14,546,0.51503719529535019,0.76705611567211962,0.060710862278938293,0.039459128584712747
b00-clip-var,b00 clip variance,16,624,0.51486804852118861,0.76183635505855596,0.066623399655024215,0.046380664113288124
b00-clip-var,b00 clip variance,18,702,0.51485365731084454,0.75868432389365303,0.069582636157671615,0.051704869217549763
b00-clip-var,b00 clip variance,20,780,0.51743511155120325,0.75384259937155962,0.077845975756645203,0.0523156304533283
b00-clip-var,b00 clip variance,22,858,0.52350039563627326,0.74627980717226994,0.0807076096534729,0.056551903625950216
b00-clip-var,b00 clip variance,24,936,0.52250027350890327,0.74686259897346174,0.085638950268427536,0.059165764894957326
b00-clip-var,b00 clip variance,26,1014,0.52743010541312718,0.7408515000954653,0.093551168839136764,0.060140620451420559
b00-clip-var,b00 clip variance,28,1092,0.52631145970434201,0.74179508492477941,0.093399892250696823,0.062133050399521973
b00-clip-var,b00 clip variance,30,1170,0.5267897930919615,0.74112762396152199,0.10632208983103435,0.060644097533076979
b00-clip-var,b00 clip variance,32,1248,0.53118476297101402,0.73597086240083742,0.10455053051312764,0.057610596328352894
b00-clip-var,b00 clip variance,34,1326,0.53283120577151954,0.73403004295805585,0.11120069026947021,0.059463636996224513
b00-clip-var,b00 clip variance,36,1404,0.53288479849823522,0.73370968225674749,0.11867148677508037,0.059966334064180657
